carrier_element,block,carrier_group,carrier_period,carrier_Z,n_materials,N_median,abs_e2_mean,abs_e2_median,abs_e2_std,abs_e3_mean,abs_e3_median,abs_e3_std,abs_e5_mean,abs_e5_median,abs_e5_std,abs_e7_mean,abs_e7_median,abs_e7_std,delta_N_median,xi_ext_median
Ac,f,3.0,7.0,89.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3473372685173159,
Al,p,13.0,3.0,13.0,2,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2453421804836293,
Au,d,11.0,6.0,79.0,4,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0032225270644694,0.5363627317419482
B,p,13.0,2.0,5.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.1046371488444943,
Ba,s,2.0,6.0,56.0,3,,0.6666666666666666,1.0,0.5773502691896258,0.3333333333333333,0.0,0.5773502691896258,0.6666666666666666,0.0,1.1547005383792517,0.0,0.0,0.0,0.3288940449219391,
Br,p,17.0,4.0,35.0,1,,2.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.2318439927798488,
Ca,s,2.0,4.0,20.0,3,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743655492153542,
Cd,d,12.0,5.0,48.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.2167081421247871,
Ce,f,3.0,6.0,58.0,3,,1.3333333333333333,1.0,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313043657692867,
Cr,d,6.0,4.0,24.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.4261728044340387,
Cu,d,11.0,4.0,29.0,2,,0.5,0.5,0.7071067811865476,0.0,0.0,0.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,0.283309971717927,
Fe,d,8.0,4.0,26.0,85,,1.1058823529411765,1.0,0.6904713609412864,0.058823529411764705,0.0,0.282545452579066,0.09411764705882353,0.0,0.4260429614980358,0.38823529411764707,0.0,0.49024089430991125,0.0587273429683197,0.4396614221398871
Ga,p,13.0,4.0,31.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.065448209449896,
Ge,p,14.0,4.0,32.0,1,,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0790484662436323,
