carrier_element,block,group,period,Z,n_materials,Q_lock,xi_norm,best_topology_e_only,C_e_min,best_topology,C_total_min
Ac,f,3.0,7.0,89.0,1,0.18639433553991314,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Al,p,13.0,3.0,13.0,2,0.4275458218754201,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Au,d,11.0,6.0,79.0,4,1.0,0.14069539673753317,TRI_RING,0.11055555555555557,TRI_RING,0.11055555555555557
B,p,13.0,2.0,5.0,1,0.7602209356363422,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ba,s,2.0,6.0,56.0,3,0.2300004627425708,0.0,PENTA_FLOWER,0.02500000000000001,PENTA_FLOWER,0.02500000000000001
Br,p,17.0,4.0,35.0,1,0.45946018256039,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ca,s,2.0,4.0,20.0,3,0.5953590024452404,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Cd,d,12.0,5.0,48.0,1,0.495246542009532,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ce,f,3.0,6.0,58.0,3,0.2674762325367166,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Cr,d,6.0,4.0,24.0,1,0.0,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Cu,d,11.0,4.0,29.0,2,0.33777689804250854,0.0,HEPTA_FLOWER,0.035,HEPTA_FLOWER,0.035
Fe,d,8.0,4.0,26.0,85,0.8687675150633586,0.0,BIN_DIPOLE,0.09971836734693877,BIN_DIPOLE,0.09971836734693877
Ga,p,13.0,4.0,31.0,1,0.8528770739378083,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ge,p,14.0,4.0,32.0,1,0.8207213868004938,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Hf,d,4.0,6.0,72.0,3,0.11557811629994375,0.0,TETRA_PACK,0.010555555555555554,TETRA_PACK,0.010555555555555554
Hg,d,12.0,6.0,80.0,1,0.5099390251141596,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
In,p,13.0,5.0,49.0,2,0.5787350066475814,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ir,d,9.0,6.0,77.0,1,0.7037029336130951,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
La,f,3.0,6.0,57.0,13,0.2684850088481041,0.8093390004017538,BIN_DIPOLE,0.00461285444234404,BIN_DIPOLE,0.00461285444234404
Lu,f,3.0,6.0,71.0,2,0.4179288749973281,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Mg,s,2.0,3.0,12.0,11,0.5937843396350511,1.0,BIN_DIPOLE,0.022117580340264648,BIN_DIPOLE,0.022117580340264648
Mo,d,6.0,5.0,42.0,6,0.4832906382680173,0.0,TETRA_PACK,0.014171597633136085,TETRA_PACK,0.014171597633136085
Nb,d,5.0,5.0,41.0,33,0.777629673508843,0.9428017001205263,BIN_DIPOLE,0.01309442672171139,BIN_DIPOLE,0.01309442672171139
Ni,d,10.0,4.0,28.0,1,0.8339007615559599,0.0,TRI_RING,0.05499999999999999,TRI_RING,0.05499999999999999
Os,d,8.0,6.0,76.0,1,0.03586503043010569,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Pa,f,3.0,7.0,91.0,1,0.6468547289568376,0.0,BIN_DIPOLE,0.0458,BIN_DIPOLE,0.0458
Pb,p,14.0,6.0,82.0,1,0.9616893830460982,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Pt,d,10.0,6.0,78.0,4,0.7882042927889257,0.08482720192841865,TETRA_PACK,0.035,TETRA_PACK,0.035
Re,d,7.0,6.0,75.0,2,0.2214207204185129,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Rh,d,9.0,5.0,45.0,1,0.9208181764100464,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Ru,d,8.0,5.0,44.0,2,0.2599163581172248,0.0,TETRA_PACK,0.03833333333333333,TETRA_PACK,0.03833333333333333
Sc,d,3.0,4.0,21.0,3,0.39870637109026874,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
Se,p,16.0,4.0,34.0,1,0.24324389746360175,0.0,TETRA_PACK,0.10806122448979591,TETRA_PACK,0.10806122448979591
Sn,p,14.0,5.0,50.0,1,0.6966500504338051,0.0,BIN_DIPOLE,0.013799999999999996,BIN_DIPOLE,0.013799999999999996
