carrier_element,block,n_materials,topology_id,C_e,C_xi,C_total,Q_lock,xi_norm
Ac,f,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.18639433553991314,0.0
Ac,f,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.18639433553991314,0.0
Ac,f,1,TETRA_PACK,0.255,0.0,0.255,0.18639433553991314,0.0
Ac,f,1,PENTA_FLOWER,0.645,0.0,0.645,0.18639433553991314,0.0
Ac,f,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.18639433553991314,0.0
Al,p,2,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.4275458218754201,0.0
Al,p,2,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.4275458218754201,0.0
Al,p,2,TETRA_PACK,0.255,0.0,0.255,0.4275458218754201,0.0
Al,p,2,PENTA_FLOWER,0.645,0.0,0.645,0.4275458218754201,0.0
Al,p,2,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.4275458218754201,0.0
Au,d,4,BIN_DIPOLE,1.2893555555555554,0.0,1.2893555555555554,1.0,0.14069539673753317
Au,d,4,TRI_RING,0.11055555555555557,0.0,0.11055555555555557,1.0,0.14069539673753317
Au,d,4,TETRA_PACK,0.5772222222222222,0.0,0.5772222222222222,1.0,0.14069539673753317
Au,d,4,PENTA_FLOWER,0.7005555555555556,0.0,0.7005555555555556,1.0,0.14069539673753317
Au,d,4,HEPTA_FLOWER,0.5372222222222222,0.0,0.5372222222222222,1.0,0.14069539673753317
B,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.7602209356363422,0.0
B,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.7602209356363422,0.0
B,p,1,TETRA_PACK,0.255,0.0,0.255,0.7602209356363422,0.0
B,p,1,PENTA_FLOWER,0.645,0.0,0.645,0.7602209356363422,0.0
B,p,1,HEPTA_FLOWER,0.7150000000000001,0.0,0.7150000000000001,0.7602209356363422,0.0
Ba,s,3,BIN_DIPOLE,0.40980000000000005,0.0,0.40980000000000005,0.2300004627425708,0.0
Ba,s,3,TRI_RING,0.5750000000000003,0.0,0.5750000000000003,0.2300004627425708,0.0
Ba,s,3,TETRA_PACK,0.17500000000000002,0.0,0.17500000000000002,0.2300004627425708,0.0
Ba,s,3,PENTA_FLOWER,0.02500000000000001,0.0,0.02500000000000001,0.2300004627425708,0.0
Ba,s,3,HEPTA_FLOWER,0.21500000000000008,0.0,0.21500000000000008,0.2300004627425708,0.0
Br,p,1,BIN_DIPOLE,0.013799999999999996,0.0,0.013799999999999996,0.45946018256039,0.0
Br,p,1,TRI_RING,1.4549999999999998,0.0,1.4549999999999998,0.45946018256039,0.0
Br,p,1,TETRA_PACK,0.255,0.0,0.255,0.45946018256039,0.0
