element,block,Z,group,period,n_materials,e2_mean,e2_median,e2_std,e3_mean,e3_median,e3_std,e5_mean,e5_median,e5_std,e7_mean,e7_median,e7_std
Ac,f,89.0,3,7,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Al,p,13.0,13,3,2,1.125,1.125,0.1767766952966369,0.075,0.075,0.10606601717798213,0.1,0.1,0.14142135623730953,0.05,0.05,0.07071067811865477
As,p,33.0,15,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Au,d,79.0,11,6,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,p,5.0,13,2,2,1.25,1.25,0.0,0.15,0.15,0.0,0.2,0.2,0.0,0.1,0.1,0.0
Ba,s,56.0,2,6,3,1.2266666666666666,1.25,0.040414518843273836,0.12,0.15,0.05196152422706632,0.13333333333333333,0.2,0.11547005383792516,0.10666666666666667,0.1,0.011547005383792509
Br,p,35.0,17,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
C,p,6.0,14,2,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Ca,s,20.0,2,4,4,1.2149999999999999,1.2149999999999999,0.040414518843273836,0.10500000000000001,0.105,0.05196152422706632,0.1,0.1,0.11547005383792516,0.10999999999999999,0.11,0.011547005383792509
Cd,d,48.0,12,5,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Ce,f,58.0,3,6,3,1.25,1.25,0.0,0.15,0.15,0.0,0.20000000000000004,0.2,3.3993498887762956e-17,0.10000000000000002,0.1,1.6996749443881478e-17
Cl,p,17.0,17,3,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Co,d,27.0,9,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Cr,d,24.0,6,4,2,1.2149999999999999,1.2149999999999999,0.049497474683058366,0.105,0.105,0.06363961030678927,0.1,0.1,0.14142135623730953,0.11,0.11,0.014142135623730944
Cs,s,55.0,1,6,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
Cu,d,29.0,11,4,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
Fe,d,26.0,8,4,37,0.6564864864864867,0.64,0.10028338225626796,0.2667567567567567,0.27,0.019727878476642882,0.18054054054054047,0.18,0.0032879797461071486,0.26540540540540536,0.27,0.02794782784191074
Ga,p,31.0,13,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Gd,f,64.0,3,6,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Ge,p,32.0,14,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Hf,d,72.0,4,6,2,1.25,1.25,0.0,0.15,0.15,0.0,0.2,0.2,0.0,0.1,0.1,0.0
Hg,d,80.0,12,6,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
In,p,49.0,13,5,3,1.1666666666666667,1.25,0.14433756729740646,0.09999999999999999,0.15,0.08660254037844387,0.13333333333333333,0.2,0.11547005383792516,0.06666666666666667,0.1,0.05773502691896258
Ir,d,77.0,9,6,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
K,s,19.0,1,4,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
La,f,57.0,3,6,18,1.2283333333333333,1.25,0.06128525395999578,0.13166666666666665,0.15,0.04382451637262091,0.16666666666666669,0.2,0.07669649888473705,0.09666666666666668,0.1,0.02497057091387191
Lu,f,71.0,3,6,2,1.2149999999999999,1.2149999999999999,0.049497474683058366,0.105,0.105,0.06363961030678927,0.1,0.1,0.14142135623730953,0.11,0.11,0.014142135623730944
Mg,s,12.0,2,3,5,1.222,1.25,0.038340579025361664,0.11400000000000002,0.15,0.04929503017546495,0.12000000000000002,0.2,0.10954451150103323,0.10799999999999998,0.1,0.010954451150103316
Mn,d,25.0,7,4,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Mo,d,42.0,6,5,10,1.1869999999999998,1.18,0.022135943621178676,0.06899999999999999,0.06,0.028460498941515408,0.02,0.0,0.06324555320336758,0.11800000000000002,0.12,0.006324555320336755
Nb,d,41.0,5,5,17,1.18,1.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.12,0.12,0.0
Nd,f,60.0,3,6,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Ni,d,28.0,10,4,3,1.2033333333333331,1.18,0.040414518843273836,0.09000000000000001,0.06,0.05196152422706632,0.06666666666666667,0.0,0.11547005383792518,0.11333333333333333,0.12,0.011547005383792509
Pb,p,82.0,14,6,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Pr,f,59.0,3,6,2,1.25,1.25,0.0,0.15,0.15,0.0,0.2,0.2,0.0,0.1,0.1,0.0
Pt,d,78.0,10,6,2,1.18,1.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.12,0.12,0.0
Rb,s,37.0,1,5,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
Re,d,75.0,7,6,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
Ru,d,44.0,8,5,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
S,p,16.0,16,3,2,1.25,1.25,0.0,0.15,0.15,0.0,0.2,0.2,0.0,0.1,0.1,0.0
Sc,d,21.0,3,4,3,1.25,1.25,0.0,0.15,0.15,0.0,0.20000000000000004,0.2,3.3993498887762956e-17,0.10000000000000002,0.1,1.6996749443881478e-17
Se,p,34.0,16,4,2,1.2149999999999999,1.2149999999999999,0.049497474683058366,0.105,0.105,0.06363961030678927,0.1,0.1,0.14142135623730953,0.11,0.11,0.014142135623730944
Si,p,14.0,14,3,2,1.2149999999999999,1.2149999999999999,0.049497474683058366,0.105,0.105,0.06363961030678927,0.1,0.1,0.14142135623730953,0.11,0.11,0.014142135623730944
Sm,f,62.0,3,6,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Sn,p,50.0,14,5,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Sr,s,38.0,2,5,5,1.222,1.25,0.038340579025361664,0.11400000000000002,0.15,0.04929503017546495,0.12000000000000002,0.2,0.10954451150103323,0.10799999999999998,0.1,0.010954451150103316
Ta,d,73.0,5,6,9,1.1877777777777778,1.18,0.023333333333333352,0.07,0.06,0.03,0.022222222222222223,0.0,0.06666666666666667,0.11777777777777779,0.12,0.006666666666666664
Tb,f,65.0,3,6,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
Th,f,90.0,3,7,5,1.2,1.25,0.11180339887498947,0.12,0.15,0.0670820393249937,0.16,0.2,0.08944271909999159,0.08,0.1,0.044721359549995794
Ti,d,22.0,4,4,2,1.0899999999999999,1.0899999999999999,0.12727922061357852,0.03,0.03,0.042426406871192854,0.0,0.0,0.0,0.06,0.06,0.08485281374238571
Tl,p,81.0,13,6,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
U,f,92.0,3,7,1,1.25,1.25,,0.15,0.15,,0.2,0.2,,0.1,0.1,
V,d,23.0,5,4,3,1.18,1.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.12,0.12,0.0
W,d,74.0,6,6,4,1.18,1.18,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.12,0.12,0.0
Y,d,39.0,3,5,6,1.2383333333333333,1.25,0.028577380332470436,0.135,0.15,0.03674234614174767,0.16666666666666666,0.2,0.0816496580927726,0.10333333333333333,0.1,0.008164965809277254
Yb,f,70.0,3,6,1,1.18,1.18,,0.06,0.06,,0.0,0.0,,0.12,0.12,
Zn,d,30.0,12,4,1,1.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
Zr,d,40.0,4,5,4,1.2149999999999999,1.2149999999999999,0.040414518843273836,0.105,0.105,0.05196152422706632,0.1,0.1,0.11547005383792516,0.11,0.11,0.011547005383792509
