name,sub_network,category,Tc_K,Gap_meV,ThetaD_K,EF_eV,lock_family,sub_order,pressure_GPa,notes
(BEDT-TTF)2Cu(NCS)2,single,SC_Molecular,10.4,1.65,150,0.15,rational,0,0,κ-phase organic SC - ambient pressure
(BEDT-TTF)2Cu[N(CN)2]Br,single,SC_Molecular,11.6,1.84,155,0.15,rational,0,0,κ-phase organic SC - ambient pressure
(BEDT-TTF)2I3,single,SC_Molecular,1.5,0.24,140,0.12,rational,0,0,β-phase organic SC - ambient pressure
(La0.5Y0.5)H8,single,SC_HighPressure,145,24,940,6.2,mixed,0,140,Ternary octahydride (140 GPa)
(La0.925Sr0.075)2CuO4,single,SC_Oxide,20,3.2,350,1.5,mixed,0,0,underdoped cuprate - ambient pressure
(LaY)H10,single,SC_HighPressure,253,43,1120,7,mixed,0,183,Ternary decahydride (183 GPa)
(LaY)H4,single,SC_HighPressure,95,15,820,5.6,mixed,0,110,Ternary tetrahydride (110 GPa)
(LaY)H6,single,SC_HighPressure,195,33,980,6,mixed,0,170,Ternary hexahydride (170 GPa)
(TMTSF)2AsF6,single,SC_Molecular,1.1,0.175,185,0.1,rational,0,1,organic SC under pressure ~10 kbar
(TMTSF)2ClO4,single,SC_Molecular,1.4,0.22,190,0.1,rational,0,0,organic SC - Bechgaard salt - ambient
(TMTSF)2PF6 (under P),single,SC_Molecular,1.1,0.2,200,0.1,rational,0,0.65,organic SC under pressure ~6.5 kbar
1T-TaS2 (pressure 4 GPa),single,SC_Binary,5.5,0.87,200,0.15,mixed,0,4,Mott insulator - SC under pressure - CDW at 180K
1T'-MoTe2,single,SC_Binary,0.1,0.016,200,4.8,mixed,0,0,Weyl semimetal - type II - ambient
1T'-WTe2,single,SC_Binary,0.05,0.008,195,4.7,mixed,0,2.5,Weyl semimetal - pressure-induced SC ~25 kbar
2H-NbS2,single,SC_Binary,6,0.95,250,5.4,integer,0,0,2H polytype - bulk superconductor - ambient
2H-NbSe2,pi,SC_Binary,7.2,0.62,200,5.3,integer,2,0,multi-gap (2-gap) - smaller gap component - ambient
2H-NbSe2,sigma,SC_Binary,7.2,1.15,200,5.3,integer,1,0,multi-gap (Gamma pocket) - ambient
2H-Pd0.08TaSe2,single,SC_Binary,3.3,0.52,260,0.3,mixed,0,0,Pd intercalated - multiband SC - 24x Tc enhancement - ambient
2H-TaS2,single,SC_Binary,0.8,0.13,240,0.2,integer,0,0,BCS s-wave - CDW at 76K - ambient
2H-TaS2 (thin 3.5nm),single,SC_Binary,2.2,0.35,240,0.2,integer,0,0,enhanced Tc in thin films - ambient
2H-TaSe2,single,SC_Binary,0.14,0.022,250,0.25,integer,0,0,ICDW at 123K - CCDW at 90K - ambient
2H-VSe2,single,SC_Binary,0.2,0.032,240,3.8,mixed,0,8,CDW below 110K - pressure enhances SC ~80 kbar
2M-WS2,single,SC_Binary,8.8,1.4,260,4.5,mixed,0,0,topological SC - highest Tc among TMDs - Majorana states - ambient
2M-WS2 (thin <20nm),single,SC_Binary,8.8,1.4,260,4.5,mixed,0,0,unconventional SC - IP field enhancement - ambient
3R-Ta0.9Mo0.1Se2,single,SC_Binary,3.8,0.6,255,0.3,mixed,0,0,3R polytype - Mo doped - ambient
3R-Ta0.9W0.1Se2,single,SC_Binary,4.5,0.7,260,0.3,mixed,0,0,3R polytype - W doped - ambient
4H-NbSe2,single,SC_Binary,6.5,1,200,5.3,integer,0,0,4H polytype - CDW at 42K - ambient
4H-TaS2,single,SC_Binary,2.3,0.36,230,0.2,mixed,0,0,4H polytype - alternating 2H/1T layers - ambient
4Hb-TaS2,single,SC_Binary,2.7,0.4,220,0.2,mixed,0,0,chiral SC - time-reversal symmetry breaking - ambient
AcH10,single,SC_HighPressure,170,28,980,6.5,integer,0,180,High Pressure (180 GPa) - actinide clathrate
Al,single,SC_TypeI,1.2,0.18,428,11.7,integer,0,0,clean type-I - ambient
AlH3,single,SC_HighPressure,72,11.5,720,5.5,integer,0,180,High Pressure (180 GPa) - disputed
Am,single,SC_TypeII,0.6,0.095,130,6.8,mixed,0,0,actinide metal (alpha phase) - ambient
AsH3,single,SC_HighPressure,100,16,780,5.5,mixed,0,200,High Pressure (200 GPa) - pnictogen hydride
B2H6,single,SC_HighPressure,125,20,880,6,mixed,0,250,High Pressure (250 GPa) - diborane
Ba(Fe0.8Co0.2)2As2,electron-band,SC_IronBased,25.3,6,250,0.2,mixed,2,0,122-type Co-doped - electron pocket - gap range 5-7 meV - ambient
Ba(Fe0.8Co0.2)2As2,hole-band,SC_IronBased,25.3,8,250,0.2,mixed,1,0,122-type Co-doped - hole pocket - gap range 7-9 meV - ambient
Ba(Fe0.9Co0.1)2As2,electron-band,SC_IronBased,22,5,250,0.2,mixed,2,0,122-type Co-doped - electron pocket - gap range 4-6 meV - ambient
Ba(Fe0.9Co0.1)2As2,hole-band,SC_IronBased,22,7,250,0.2,mixed,1,0,122-type Co-doped - hole pocket - gap range 6-8 meV - ambient
Ba0.6K0.4BiO3,single,SC_Oxide,30,4.5,300,5,mixed,0,0,oxide (high Tc) - ambient
Ba0.6K0.4Fe2As2,electron-band,SC_IronBased,38,9,250,0.2,mixed,2,0,122-type K-doped - electron pocket - gap range 8-10 meV - ambient
Ba0.6K0.4Fe2As2,hole-band,SC_IronBased,38,11,250,0.2,mixed,1,0,122-type K-doped - hole pocket dominant - gap range 10-12 meV - ambient
BaC6,single,SC_Binary,0.065,0.01,290,3.8,integer,0,0,graphite intercalation - ambient
BaFe2(As0.67P0.33)2,electron-band,SC_IronBased,31,2.8,250,0.2,mixed,2,0,122-type P-doped QCP - electron pocket - nodal loops - ambient
BaFe2(As0.67P0.33)2,hole-band,SC_IronBased,31,7.5,250,0.2,mixed,1,0,122-type P-doped QCP - hole pocket - isotropic - ambient
BaFe2(As0.7P0.3)2,hole-band,SC_IronBased,30,7,250,0.2,mixed,1,0,122-type P-doped - hole pocket - isotropic gap ~7 meV (xz
