name,category,hypothesis_winner,f_base_used,Fm_raw,Fm_corr,N_value,delta_value,predicted_noise,z_noise,p_shuffle,p_lognorm,p_gamma,spearman_rho,spearman_ci_low,spearman_ci_high,cliffs_delta
(BEDT-TTF)2Cu(NCS)2,SC_Molecular,Fm,4.665463717730834,14.423076923076923,14.423076923076923,3.0914562400866665,0.09145624008666653,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(BEDT-TTF)2Cu[N(CN)2]Br,SC_Molecular,Fm,4.665463717730834,13.362068965517242,13.362068965517242,2.8640387695515552,0.13596123044844477,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(BEDT-TTF)2I3,SC_Molecular,Fm,4.665463717730834,93.33333333333333,93.33333333333333,20.005156824738602,0.005156824738602239,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(La0.5Y0.5)H8,SC_HighPressure,Fm,4.2785915724700025,6.482758620689655,6.482758620689655,1.5151618262425552,0.48483817375744476,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(La0.925Sr0.075)2CuO4,SC_Oxide,Fm,2.334226185351896,17.5,17.5,7.497131216254345,0.49713121625434464,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(LaY)H10,SC_HighPressure,Fm,4.2785915724700025,4.426877470355731,4.426877470355731,1.0346576426784584,0.03465764267845839,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(LaY)H4,SC_HighPressure,Fm,4.2785915724700025,8.631578947368421,8.631578947368421,2.0173879187036934,0.017387918703693384,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(LaY)H6,SC_HighPressure,Fm,4.2785915724700025,5.0256410256410255,5.0256410256410255,1.1746017212715063,0.1746017212715063,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(TMTSF)2AsF6,SC_Molecular,Fm,4.665463717730834,168.18181818181816,168.18181818181816,36.048253369253,0.04825336925299695,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
(TMTSF)2ClO4,SC_Molecular,Fm,4.665463717730834,135.71428571428572,135.71428571428572,29.089131097196443,0.08913109719644297,,,0.0,0.0,0.035,0.30344733635217946,-0.033262500292313625,0.6015933505131507,-0.3484848484848485
