name,subnets,num_subnets,pair_count,mismatch_sum,mismatch_mean,N_mismatch,M_struct_sum,M_struct_mean,ratios_used_mean,exp_diff_mean_2,exp_diff_mean_3,exp_diff_mean_5,exp_diff_mean_7,pressure_GPa,category,zeta_used,predicted_noise,xi_exp_2,xi_exp_3,xi_exp_5,xi_exp_7,k_skin
2H-NbSe2,"['pi', 'sigma']",2,1,48.0,48.0,48.0,0.38167405164900947,0.38167405164900947,3.0,6.0,3.3333333333333335,1.3333333333333333,5.333333333333333,0.0,SC_Binary,0.026208630529089606,1.2580142653963011,1.0680344258671715,1.5285388468552605,0.3937895136786377,1.4205116063729277,0.05
Ba0.6K0.4Fe2As2,"['electron-band', 'hole-band']",2,1,37.0,37.0,37.0,0.04026872801726345,0.04026872801726345,3.0,7.0,2.6666666666666665,2.0,0.6666666666666666,0.0,SC_IronBased,0.0382314280121641,1.4145628364500717,1.2460401635117,1.2228310774842084,0.5906842705179566,0.17756395079661597,0.05
BaFe2(As0.67P0.33)2,"['electron-band', 'hole-band']",2,1,12.0,12.0,12.0,0.9707837790522466,0.9707837790522466,3.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,SC_IronBased,0.0382314280121641,0.4587771361459692,0.23734098352603808,0.3057077693710521,0.3937895136786377,0.17756395079661597,0.05
BaFe2(As0.7P0.3)2,"['electron-band', 'hole-band']",2,1,6.0,6.0,6.0,1.0601161442364684,1.0601161442364684,3.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,SC_IronBased,0.0382314280121641,0.2293885680729846,0.11867049176301904,0.0,0.19689475683931884,0.17756395079661597,0.05
BeAu,"['gap1', 'gap2']",2,1,23.0,23.0,23.0,0.5363627317419482,0.5363627317419482,3.0,3.3333333333333335,0.6666666666666666,3.0,0.6666666666666666,0.0,SC_TypeI,0.02332011877138905,0.5363627317419482,0.5933524588150952,0.3057077693710521,0.8860264057769349,0.17756395079661597,0.05
Ca10(Pt3As8)(Fe2As2)5,"['electron-band', 'gap1', 'gap2', 'hole-band']",4,6,136.0,22.666666666666668,22.666666666666668,1.0659177855119812,0.17765296425199686,3.0,3.7777777777777777,1.1111111111111112,0.4444444444444444,2.2222222222222223,0.0,SC_IronBased,0.0382314280121641,0.8665790349423863,0.6724661199904413,0.5095129489517536,0.13126317122621256,0.59187983598872,0.05
CaFe0.88Co0.12AsF,"['electron-band', 'hole-band']",2,1,17.0,17.0,17.0,2.723971788191936,2.723971788191936,3.0,3.6666666666666665,0.3333333333333333,1.0,0.6666666666666666,0.0,SC_IronBased,0.0382314280121641,0.6499342762067897,0.6526877046966048,0.15285388468552605,0.2953421352589783,0.17756395079661597,0.05
FeSe,"['electron-band', 'hole-band', 'pi', 'sigma']",4,6,16.0,2.6666666666666665,2.6666666666666665,12.841607982273603,2.1402679970456004,3.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,SC_IronBased,0.0382314280121641,0.10195047469910426,0.07911366117534603,0.2038051795807014,0.0,0.0,0.05
LaB2,"['pi', 'sigma']",2,1,38.0,38.0,38.0,0.06125740267664982,0.06125740267664982,3.0,5.0,1.6666666666666667,4.333333333333333,1.6666666666666667,0.0,SC_Binary,0.026208630529089606,0.995927960105405,0.8900286882226428,0.7642694234276303,1.2798159194555725,0.44390987699154,0.05
LaFeAsO0.9F0.1,"['electron-band', 'hole-band']",2,1,6.0,6.0,6.0,1.4495505135564588,1.4495505135564588,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,SC_IronBased,0.0382314280121641,0.2293885680729846,0.11867049176301904,0.3057077693710521,0.19689475683931884,0.0,0.05
